county,city_code,urban_rural,region
11,51056,1,5
11,51118,1,5
11,51207,1,5
11,51243,3,5
11,51305,3,5
11,51332,3,5
11,51387,3,5
11,51449,3,5
11,51500,3,5
11,51546,3,5
11,51573,3,5
11,51626,3,5
11,51662,3,5
11,51699,3,5
11,51751,3,5
11,51804,3,5
11,51840,3,5
11,51948,3,5
11,51984,3,5
11,52035,3,5
11,51877,3,5
11,52062,3,5
11,52115,3,5
11,52160,3,5
11,53489,3,5
11,52570,3,5
11,52650,3,5
11,52696,3,5
11,52721,3,5
11,53700,3,5
11,52758,3,5
11,52785,3,5
11,52856,3,5
11,52909,3,5
11,52936,3,5
11,52954,3,5
11,52990,3,5
11,53023,3,5
11,53069,3,5
11,53103,3,5
11,53130,3,5
11,53167,3,5
11,53210,3,5
11,53247,3,5
11,53274,3,5
11,53327,3,5
11,53345,3,5
11,53372,3,5
11,50987,3,5
11,53425,3,5
11,53513,3,5
11,53577,3,5
11,53675,3,5
11,53639,3,5
11,53728,3,5
11,53755,3,5
11,53791,3,5
11,53853,3,5
11,54056,3,5
11,54109,3,5
11,54163,3,5
11,54350,3,5
11,54270,3,5
11,54305,3,5
11,54387,3,5
11,54412,3,5
11,54485,3,5
11,54500,3,5
11,54537,3,5
11,54573,3,5
11,54617,3,5
11,54699,3,5
51,92569,1,3
51,101458,1,3
51,103032,1,3
51,93888,1,3
51,100610,1,3
51,94125,3,3
51,101083,3,3
51,92961,3,3
51,101724,3,3
51,101804,3,3
51,101822,3,3
51,93085,3,3
51,102419,3,3
51,93281,3,3
51,93325,3,3
51,93370,3,3
51,93441,3,3
51,93487,3,3
51,93539,3,3
51,102838,3,3
51,102945,3,3
51,103014,3,3
51,93664,3,3
51,103568,3,3
51,103764,3,3
51,93771,3,3
51,93815,3,3
51,93851,3,3
51,104083,3,3
51,93931,3,3
51,104181,3,3
51,100638,3,3
51,92587,3,3
51,104323,3,3
51,104341,3,3
51,94223,3,3
51,104635,3,3
51,104751,3,3
51,94312,3,3
51,104886,3,3
51,105222,3,3
51,105384,3,3
51,105259,3,3
51,94562,3,3
51,94580,3,3
51,105455,3,3
51,105605,3,3
51,94606,3,3
